,buyers,total_funds
339,FUTURE GAMING AND HOTEL SERVICES PR,12080000000.0
9,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,8210000000.0
579,QWIKSUPPLYCHAINPRIVATELIMITED,4100000000.0
161,HALDIA ENERGY LIMITED,3770000000.0
77,VEDANTA LIMITED,3756500000.0
4,ESSEL MINING AND INDS LTD,2245000000.0
1149,WESTERN UP POWER TRANSMISSION COMPANY LI MITED,2200000000.0
55,KEVENTER FOODPARK INFRA LIMITED,1950000000.0
179,MADANLAL LTD.,1855000000.0
361,BHARTI AIRTEL LIMITED,1830000000.0
469,YASHODA SUPER SPECIALITY HOSPITAL,1620000000.0
47,UTKAL ALUMINA INTERNATIONAL LIMITED,1353000000.0
266,DLF COMMERCIAL DEVELOPERS LIMITED,1300000000.0
701,MKJ ENTERPRISES LIMITED,1283500000.0
777,JINDAL STEEL AND POWER LIMITED,1230000000.0
896,B G SHIRKE CONSTRUCTION TECHNOLOGY PVT L TD,1170000000.0
443,DHARIWAL INFRASTRUCTURE LIMITED,1150000000.0
878,BIRLACARBONINDIAPRIVATELIMITED,1050000000.0
574,CHENNAI GREEN WOODS PRIVATE LIMITED,1050000000.0
373,RUNGTA SONS P LTD,1000000000.0
585,FUTURE GAMING AND HOTEL SERVICES PRIVATE LIMITED,950000000.0
526,IFB AGRO INDUSTRIES LIMITED,923000000.0
167,TORRENT  POWER  LIMITED,865000000.0
470,AVEES TRADING FINANCE PVT LTD,855000000.0
174,DR.REDDY'S LABORATORIES LTD,800000000.0
572,PRARAMBH SECURITIES PVT LTDPROPRIET,780000000.0
675,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,750000000.0
606,MEGHA ENGINEERING AND INFRASTRUCTURES LTD,700000000.0
1136,FUTURE GAMING AND HOTEL SERVICES PVT LTD,650000000.0
248,MKJ ENTERPRISES LTD,640700000.0
542,RASHMI CEMENT LTD,635000000.0
819,SRI SIDDHARTH INFRATECH AND SERVICES I P,601000000.0
308,INFINA FINANCE PRIVATE LIMITED,600000000.0
280,NCC LIMITED,600000000.0
251,NATCO PHARMA LTD,572500000.0
1026,DIVI S LABORATORIES LIMITED,550000000.0
809,THE RAMCO CEMENTS LIMITED,540000000.0
867,UNITED PHOSPHORUS INDIA LLP,500000000.0
360,AUROBINDO PHARMA LIMITED,490000000.0
906,RITHWIK PROJECTS  PRIVATE LIMITED,450000000.0
736,PCBL LIMITED,450000000.0
103,NAVAYUGA  ENGINEERING COMPANY LIMITED,450000000.0
318,MS S N MOHANTY,450000000.0
1234,SASMAL INFRASTRUCTURE PRIVATE LIMITED,440000000.0
615,TORRENT PHARMACEUTICALS LTD,425000000.0
481,TRANSWAYS EXIM PRIVATE LIMITED,415000000.0
1266,SEPC POWER PVT LTD OPERATION RETEN,400000000.0
578,MODERN ROAD MAKERS PVT. LTD.,400000000.0
919,LAXMI CIVIL ENGINEERING SERVICES PR,400000000.0
1312,SHIRDI SAI ELECTRICALS LTD,400000000.0
15,PHL FINIVEST PVT LTD,400000000.0
362,BHARTI TELEMEDIA LIMITED,370000000.0
168,TORRENT PHARMACEUTICALS LIMITED,350000000.0
97,LAKSHMI NIWAS MITTAL,350000000.0
192,NEXG DEVICES PVT LTD,350000000.0
185,SWAL CORPORATION LIMITED,350000000.0
1259,SAFAL GOYAL REALTY LLP,350000000.0
320,CRESCENT POWER LTD,340000000.0
5,GRASIM INDUSTRIES LTD,330000000.0
243,CIPLA LIMITED,322000000.0
980,LCCPROJECTSPRIVATELIMITED,315000000.0
570,KAMNA CREDITS AND PROMOTORS PVT LTD,305000000.0
796,GENUS POWER INFRASTRUCTURES LIMITED,305000000.0
1196,APARNA FARMS AND ESTATES LLP,300000000.0
731,JINDAL STAINLESS LTD,300000000.0
394,HONEYWELL PROPERTIES PVT LTD,300000000.0
671,HETERO DRUGS LIMITED,300000000.0
366,PHILLIPS CARBON BLACK LIMITED,300000000.0
811,ZYDUS HEALTHCARE LIMITED,290000000.0
317,JINDAL SAW LIMITED,290000000.0
747,WESTWELL GASES PRIVATE LIMITED,285000000.0
332,PENGUIN TRADING & AGENCIES LIMITED,275000000.0
543,RASHMI METALIKS LTD,270000000.0
125,KAYPEE ENTERPRISES,270000000.0
702,MSN PHARMACHEM PVT LTD,260000000.0
928,KALPATARU PROJECTS INTERNATIONAL LIMITED,255000000.0
267,DLF LUXURY HOMES LIMITED,250000000.0
594,VEDANTA LTD,250000000.0
666,AUTHUM INVESTMENT AND INFRASTRUCTURE LTD,250000000.0
672,HETERO LABS LIMITED,250000000.0
817,MAATHA PROJECTS LLP,250000000.0
1263,K R RAJA  JT,250000000.0
676,PIRAMAL ENTERPRISES LIMITED,250000000.0
902,MAHINDRA & MAHINDRA LTD,250000000.0
1237,PRATHMESH CONSTRUCTION,250000000.0
1264,LAXMIDAS VALLABHDAS   ASMITA MERCHA,250000000.0
1024,IRB MP EXPRESSWAY PRIVATE LIMITED,250000000.0
234,AVEES TRADING & FINANCE PVT LTD,240000000.0
824,MANKIND PHARMA LIMITED,240000000.0
695,HES INFRA PVT LTD,220000000.0
926,WPIL LIMITED,220000000.0
1133,SIDDHI TRADING,220000000.0
1169,L7 HITECH PRIVATE LIMITED,220000000.0
124,K RAHEJA CORP PVT LTD,210000000.0
1067,TELLAPUR TECHNOCITY PRIVATE LIMI,200000000.0
776,HERO MOTOCORP LIMITED,200000000.0
384,RAHUL BHATIA,200000000.0
812,MARUTI SUZUKI INDIA LTD,200000000.0
38,PRL DEVELOPERS PRIVATE LIMITED,200000000.0
